grid_ci,n_workloads,num_samples,adjusted_deviation_from_shapley (%),baseline_deviation_from_shapley (%),worst_case_baseline_deviation (%),worst_case_adjusted_deviation (%)
34.0,73.0,2.0,2.3157558794099398,7.8304366012712965,29.189245629202,5.950268778620811
9.0,75.0,13.0,0.5814720840044936,9.36485546228822,75.89143946584687,2.453773930425308
44.0,58.0,10.0,0.787872956993669,7.060571411967502,35.579003245382815,2.4528558982295636
44.0,40.0,14.0,0.5893637128019122,7.83073597811777,20.064162650126992,2.3892983476346594
1.0,48.0,14.0,1.145339532547166,11.75140243772511,32.353371026186345,4.138267936486097
39.0,85.0,13.0,0.5431320669051958,7.0614381465828195,34.10002557878811,1.7442086156241523
34.0,78.0,14.0,0.670297914036114,8.376950135570402,27.056554483263923,1.491299240324326
31.0,15.0,1.0,1.624770423880173,10.444428740405943,34.83909438207256,4.340398306362935
24.0,59.0,13.0,0.6040622989059004,10.597161897702877,39.56435202924509,1.413248170829637
6.0,74.0,15.0,0.45855161353088214,10.679735982468662,39.1469986787002,1.6766173842320111
29.0,20.0,9.0,1.4906290172165302,5.122988729554304,19.681124175390487,3.8419932070937954
24.0,61.0,12.0,0.5891613131780914,7.527634290549293,36.5121151833613,1.4008203449665322
12.0,16.0,15.0,0.5866516865961231,9.656684240670362,42.09077292543226,1.7957930318527708
32.0,9.0,10.0,0.5859104409223996,9.598860338247214,24.237889278762427,1.1381612861334927
33.0,97.0,2.0,1.9227314173861154,6.920501699672814,38.25559468523867,7.446630756856901
18.0,12.0,7.0,1.440481837777223,7.54983867700815,16.720728677922807,2.6289741761443404
26.0,59.0,6.0,1.0001714917448763,8.176245011365152,31.95567550151551,3.5508721240580403
6.0,56.0,14.0,0.4625624364033997,10.357462245865985,35.12620652684866,1.1222339332102367
21.0,48.0,1.0,2.299358283799131,8.993766991365481,27.644310480390555,6.111691186384953
33.0,97.0,15.0,0.683366940726513,7.572254414704114,26.32040576226069,2.33651965420218
7.0,79.0,10.0,1.018567092852232,10.726868574623508,40.47095944868337,2.5353107168587936
43.0,4.0,12.0,3.9128733409089502,7.113980331366222,14.001721673791645,8.633496656444827
42.0,58.0,8.0,0.9765896346497063,7.181519586764734,33.39320079415742,2.250177018069671
30.0,59.0,2.0,1.4056022515895057,9.092696993201681,27.230316201830117,4.934561856726991
31.0,82.0,14.0,0.7425183473832282,9.027357976267899,37.07873851094992,2.5026150224030475
13.0,83.0,14.0,0.43412678792392667,10.049902997177824,38.07937433216112,1.1637739896438584
31.0,42.0,10.0,0.8438168538948341,7.411234763530343,24.564225422867388,2.0466631004955005
33.0,80.0,1.0,4.615227854988525,7.649636193305648,31.595109675150585,11.426801342346057
47.0,78.0,12.0,1.133512522996439,8.522641559096822,30.17036269852957,3.0536432487457175
40.0,88.0,9.0,1.1854814977105383,6.6264990801220245,26.45616137593893,2.949350783275289
5.0,21.0,10.0,1.0477721998557326,10.971979293692511,39.54524796731101,2.010347635649779
27.0,13.0,6.0,0.7703165648292865,11.914305622466271,31.4737491312086,3.062478608093464
12.0,91.0,5.0,1.7493860977354247,10.409018170023902,76.39154409188542,4.420261222382466
2.0,19.0,5.0,1.71501959059603,11.36137624656416,44.587578336915676,6.6528341441117504
27.0,89.0,5.0,1.6057063856128626,7.8796117293888,71.08352184407029,3.599858939176237
16.0,66.0,3.0,2.184256743944441,11.214493971736392,33.89224775944592,6.099781361587437
15.0,91.0,9.0,0.7962354483869459,9.936943662203769,37.13273449821507,1.9392643783553507
9.0,30.0,8.0,1.9217294377723568,9.161509203088633,33.46152854694432,4.490707259493767
11.0,59.0,3.0,1.8582502887222307,10.194975387383533,40.32995942278537,3.7046278797354057
22.0,81.0,13.0,0.6624818180675335,10.943130314633473,40.74220212378415,1.4652377484376948
41.0,74.0,4.0,1.6568855279193282,7.5248979616206615,35.72592643799324,2.963222230055749
40.0,31.0,13.0,0.6274171577477822,6.578789715519552,35.2161328178353,2.2284320413975807
26.0,80.0,6.0,1.18228682438911,7.529251474543486,28.545488279230195,2.5529413331651787
40.0,60.0,14.0,0.823286810288388,6.637674640929669,33.58028735556835,2.029839359130601
41.0,85.0,14.0,0.5144952475466148,8.780858486841128,61.311520485490476,0.9310136751019431
13.0,69.0,11.0,0.5408307967607838,9.556480205543744,35.43488311437592,1.5293095009092856
14.0,83.0,5.0,1.5864366601547581,9.552629350437183,38.70009963548097,5.265943228943423
26.0,4.0,4.0,0.36802861763109807,7.114757762857117,10.360285717819588,0.7498895116152459
