,0
419,1.893137308690777e-05
420,1.8921031190410003e-05
421,1.8853584039337757e-05
422,1.9238932095797238e-05
423,2.047726178948369e-05
424,2.0410148954007406e-05
425,2.0557077286184397e-05
426,2.04561377578188e-05
427,2.0375087404434968e-05
428,1.9975338571304982e-05
429,1.97303479590009e-05
430,1.9594178423906064e-05
431,1.967193824749342e-05
432,1.978582067528708e-05
433,1.9530387902304327e-05
434,1.95481756998658e-05
435,1.9413187209977733e-05
436,1.9425858898145326e-05
437,1.9479538518341937e-05
438,1.976921873089633e-05
439,1.964019790591713e-05
440,1.981580226459132e-05
441,1.9900263300729102e-05
442,1.994864957021031e-05
443,2.0281672282649663e-05
444,2.0305424083257355e-05
445,2.0222212538560818e-05
446,2.067012656218294e-05
447,2.2161193990872614e-05
448,2.0724445860826195e-05
449,2.051948613837292e-05
450,2.0591655054729694e-05
451,2.049559020829031e-05
452,2.040465737368075e-05
453,2.0213554083167942e-05
454,2.0094395183494375e-05
455,2.007721210817133e-05
456,1.9991106224339138e-05
457,1.9604344716803714e-05
458,1.966074133783173e-05
459,1.9572301182128704e-05
460,1.9524422376878845e-05
461,1.9701290255167384e-05
462,1.998303600079133e-05
463,1.9687681642910346e-05
464,2.091127404634014e-05
465,2.0933456594668973e-05
466,2.133383478704355e-05
467,2.134805178392703e-05
468,2.1444344209627177e-05
469,2.1442327614324567e-05
470,2.2680769204546774e-05
471,2.3293814176543674e-05
472,2.568409642324749e-05
473,2.3605852566794406e-05
474,2.3453518659680024e-05
475,2.3720782250580493e-05
476,2.311389193454388e-05
477,2.3405155814020635e-05
478,2.3113801367417178e-05
479,2.276035668637836e-05
480,2.009450340710061e-05
481,1.9716774988074507e-05
482,1.9709882711972317e-05
483,1.9673662612731807e-05
484,1.9566815357098233e-05
485,1.9624941350630066e-05
486,1.9995159565351787e-05
487,2.0275603903303183e-05
488,1.9920150270223378e-05
489,1.9952820188660083e-05
490,2.005060600611592e-05
491,2.0263858500852458e-05
492,2.0456263177073625e-05
493,2.0023750514707884e-05
494,1.998727478948878e-05
495,2.0128745539635044e-05
496,2.0239460967627998e-05
497,2.024256692631213e-05
498,2.0326188890884767e-05
499,2.0179093873203144e-05
500,2.0156300914859624e-05
501,2.016451975937763e-05
502,1.99488388027531e-05
