,Unnamed: 0,Index,CPU Cores,Batch Size,start time,end time,Average Latency (ms),99th Percentile (ms),95th Percentile (ms),Number of Queries,Average CPU Utilization (%),Runtime (s),Average CPU Power (W),Average DRAM Power (W),Total CPU Energy (Joules),Total CPU Idle Energy (Joules),Total CPU Dynamic Energy (Joules),Total DRAM Energy (Joules),Total DRAM Idle Energy (Joules),Total DRAM Dynamic Energy (Joules),Total Energy (Joules),Total Idle Energy (Joules),Total Dynamic Energy (Joules),CPU Energy per Query (Joules),CPU Idle Energy per Query (Joules) Unscaled,CPU Dynamic Energy per Query (Joules),DRAM Energy per Query (Joules),DRAM Idle Energy per Query (Joules) Unscaled,DRAM Dynamic Energy per Query (Joules),Total Energy per Query (Joules),Total Idle Energy per Query (Joules) Unscaled,Total Dynamic Energy per Query (Joules),Throughput (queries/s),CPU-Seconds Per Query,Memory Footprint (GB),Memory Usage per Query (GB-second),CPU Idle Energy per Query (Joules),DRAM Idle Energy per Query (Joules),Total Idle Energy per Query (Joules)
39,39,hnsw,40,1024,2024-10-25 20:58:30.329875,2024-10-25 21:26:57.154185,18157.63878723404,19011.01078,18791.4611,96256,3301.3587546239214,1706.82431,177.7796977827202,12.093898521986716,303438.71,60591.89319306618,242846.81680693376,20642.16,4797.570217619833,15844.589782380164,324080.86999999994,65389.46341068601,258691.40658931396,2.7852127552642054,0.6294869223016349,2.5229265376385244,0.211075927905952,0.0498417783579188,0.1646088532910173,2.9962886831701576,0.6793287006595538,2.687535390929541,56.39479086163239,0.7092853681848404,179.0,3.1740520226271607,0.2622862176256812,0.04646707461493472,0.30875329224061593
40,40,hnsw,48,8,2024-10-20 13:01:39.178072,2024-10-20 13:20:00.383462,2202.3362420000003,2378.55208,2328.02185,4000,3627.277242195322,1101.20539,203.412117334442,13.435186691194817,223998.52,39092.55275049884,184905.96724950115,14794.9,3095.2864636351665,11699.613536364834,238793.42,42187.83921413401,196605.580785866,51.11306090618764,9.77313818762471,46.226491812375286,3.646330828089509,0.7738216159087916,2.924903384091208,54.75939173427715,10.546959803533502,49.151395196466495,3.63238323779,13.21446468,179.0,49.27894120250001,4.886569093812355,0.7214274439983005,5.6079965378106555
41,41,hnsw,48,16,2024-10-20 13:23:40.914754,2024-10-20 13:42:08.288027,2214.6796400000003,2383.17179,2343.49645,8000,3601.6216144796385,1107.373273,203.35340890966225,13.510773977294646,225188.13,39311.51126062419,185876.61873937584,14961.469999999998,3112.623251969616,11848.84674803038,240149.6,42424.1345125938,197725.46548740615,25.69154679621099,4.913938907578023,23.23457734242198,1.8438399334143192,0.389077906496202,1.4811058435037976,27.53538672962531,5.303016814074225,24.715683185925773,7.224302947394686,6.644239637999999,179.0,24.777476983375,2.4569694537890117,0.36273408991052164,2.8197035436995335
42,42,hnsw,48,32,2024-10-20 13:45:48.336129,2024-10-20 14:04:23.101925,2229.470478,2395.04492,2362.7512,16000,3612.297186010969,1114.765796,203.69018390657556,13.58025161367617,227066.85000000003,39573.94422541087,187492.9057745892,15138.8,3133.4022788267325,12005.397721173267,242205.65,42707.346504237605,199498.30349576243,12.954992367955914,2.47337151408818,11.718306610911824,0.9329151596273608,0.1958376424266708,0.7503373575733292,13.887907527583275,2.6692091565148504,12.468643968485152,14.352790565884929,3.344297388,179.0,12.471442342749999,1.23668575704409,0.18257780205403162,1.4192635590981215
43,43,hnsw,48,64,2024-10-20 14:08:07.839844,2024-10-20 14:26:49.756373,2243.774104,2433.75578,2392.6555,32000,3601.905915505537,1121.916529,203.141850671495,13.74431127576337,227908.2,39827.7936975854,188080.4063024146,15419.97,3153.5016783220167,12266.468321677983,243328.17,42981.295375907415,200346.8746240926,6.499821973475227,1.2446185530495435,5.877512696950456,0.4752016142874046,0.098546927447563,0.383327135052437,6.975023587762632,1.3431654804971067,6.260839832002894,28.52262104429696,1.6828747935,179.0,6.27572058409375,0.6223092765247717,0.0918744792349676,0.7141837557597394
44,44,hnsw,48,128,2024-10-20 14:30:35.985008,2024-10-20 14:49:23.286080,2254.543876,2464.4258600000003,2418.9612,64000,3585.752861587697,1127.301072,201.3573442250749,13.85085172703535,226990.35,40018.94380743441,186971.4061925656,15614.08,3168.6366415287994,12445.4433584712,242604.43,43187.58044896321,199416.8495510368,3.2340762202544187,0.6252959969911626,2.921428221758837,0.2406177639697367,0.0495099475238874,0.1944600524761125,3.4746939842241553,0.67480594451505,3.11588827423495,56.7727660246561,0.8454758039999999,179.0,3.1529201857499998,0.3126479984955813,0.04615771149362419,0.35880570998920547
45,45,hnsw,48,256,2024-10-20 14:56:54.581546,2024-10-20 15:25:25.364838,4549.8955000000005,4843.64025,4787.77675,96256,3570.9506063268896,1710.783292,200.18367703347903,13.844769299979813,342470.8900000001,60732.43619628675,281738.4538037133,23685.4,4808.698190208466,18876.70180979153,366156.2900000001,65541.13438649522,300615.1556135049,3.242443815469755,0.6309470183291094,2.9269703063052,0.24268420732253543,0.0499573864508027,0.1961093522460058,3.4851280227922903,0.6809044047799121,3.1230796585512057,56.26428575151177,0.8531166682180852,179.0,3.1814142418966096,0.3154735091645547,0.04657485507652961,0.3620483642410843
46,46,hnsw,48,512,2024-10-20 15:40:34.822095,2024-10-20 16:09:05.166636,9097.518292553192,9574.13785,9416.98,96256,3549.625071190016,1710.344541,197.4644242162667,13.797810578096849,337732.19999999995,60716.860630849456,277015.3393691505,23599.01,4807.464941585149,18791.54505841485,361331.21,65524.32557243461,295806.8844275654,3.193294648485032,0.6307852043597226,2.877902046305171,0.24178757232013418,0.0499445742767739,0.1952246619266835,3.4350822208051666,0.6807297786364965,3.0731267082318543,56.27871910750876,0.8528978761635637,179.0,3.180598329859957,0.3153926021798613,0.04656291039345067,0.361955512573312
47,47,hnsw,48,1024,2024-10-20 16:35:54.613024,2024-10-20 17:01:01.883855,16034.741648936171,16551.84946,16466.807,96256,3537.9570164239644,1507.270831,199.4223757389225,13.842130804162029,300583.53,53507.787925153294,247075.74207484676,20863.84,4236.661972955316,16627.17802704468,321447.37,57744.44989810861,263702.9201018914,2.8448058930084703,0.5558904164431651,2.566860684786888,0.21377350688699376,0.0440145234889805,0.172739133425913,3.0585793998954642,0.5999049399321456,2.739599818212801,63.861117736975565,0.7516310659906915,179.0,2.8029575169236205,0.27794520822158253,0.04103437346108078,0.3189795816826633
48,48,hnsw,56,8,2024-10-25 09:34:35.247210,2024-10-25 09:51:00.986600,1971.408468,2148.11348,2093.6501,4000,3960.946923858901,985.73939,220.09481633882967,14.331597320058396,216956.13,34993.53476813217,181962.5952318678,14127.219999999998,2770.7327064018327,11356.487293598166,231083.35,37764.267474534005,193319.082525466,50.59387262831956,8.748383692033043,45.49064880796695,3.484904576584343,0.6926831766004582,2.839121823399541,54.0787772049039,9.4410668686335,48.329770631366486,4.057867668248502,13.80035146,179.0,44.111837702500004,5.103223820352608,0.6457827531848022,5.74900657353741
