,Time (s),grid CI (gCO2eq/kWh),grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq),Min CF % Improvement,Min Energy % Improvement,Min Embodied % Improvement
237,853200,143.63,3.989722222222222e-05,1.902403105213534e-05,1.3127489422951465e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018044621911651493,0.0002901328606822181,0.00018271826171483227,0.000206555425580825,2.9194717806818008e-05,4.692637290222836e-05,5.391220481561774e-05,2.590271310757663e-05,0.0001512515013096969,0.00024320648777998978,0.00012880605689921453,0.00018065271247324837,37.8056595546558,37.02255536129595,28.806607739939977
238,856800,141.11,3.919722222222222e-05,1.889522323867627e-05,1.3043785245586176e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017759879185352175,0.0002855552078722961,0.0001801057417667517,0.00020321672675939104,2.900101040249246e-05,4.661579764717347e-05,5.355959758344626e-05,2.5733580779442014e-05,0.00014859778145102928,0.0002389394102251226,0.00012654614418330546,0.00017748314597994903,37.805794831468745,36.9278735594634,28.834522657253675
239,860400,127.02,3.528333333333333e-05,1.886177252304692e-05,1.3029486510605495e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.000162716516555324,0.00026162644533119395,0.00016739622958869018,0.00018545987839913833,2.8956398917242086e-05,4.6545417148959725e-05,5.348586721774936e-05,2.5698633963073393e-05,0.00013376011763808189,0.0002150810281822342,0.0001139103623709408,0.00015976124443606494,37.805783987417435,36.01708367944891,29.11271711681748
240,864000,128.64,3.5733333333333326e-05,1.860438681463074e-05,1.2653483744387288e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.000163875647419978,0.0002634606591787476,0.00016764383181636092,0.0001869076152142457,2.840956701560975e-05,4.5636509711241627e-05,5.228066841376428e-05,2.5108792318202632e-05,0.00013546608040436824,0.00021782414946750595,0.00011536316340259663,0.00016179882289604308,37.79881674523752,36.36855220094882,29.056726800551914
241,867600,141.42,3.928333333333333e-05,1.8289940035283488e-05,1.2570316455608884e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001769536574038537,0.00028451001873717286,0.00017853462723392156,0.00020271516917864143,2.8029426287670886e-05,4.504569024141184e-05,5.171047791492889e-05,2.484211620943732e-05,0.00014892423111618282,0.00023946432849576103,0.00012682414931899268,0.0001778730529692041,37.804068134654514,37.24838653261985,28.74937407181172
242,871200,173.01,4.805833333333333e-05,1.829791810565949e-05,1.2549480007715224e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0002068236832049926,0.00033798418078365546,0.0002068236832049926,0.000242427026941966,5.1669913768711145e-05,4.502898722509504e-05,5.1669913768711145e-05,2.4821194003187902e-05,0.00015515376943628145,0.0002929551935585604,0.00015515376943628145,0.0002176058329387781,38.80669718758791,38.80669718758791,28.272670519705727
243,874800,183.5,5.097222222222222e-05,1.826429623764636e-05,1.2536172135698965e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021615946243166154,0.0003556774667443057,0.00021615946243166154,0.0002555871346231272,5.1598357920028417e-05,4.49597162212386e-05,5.1598357920028417e-05,2.4787352273749798e-05,0.00016456110451163312,0.0003107177505230671,0.00016456110451163312,0.0002307997823493774,39.22598909335541,39.22598909335541,28.14075714083198
244,878400,180.67,5.0186111111111106e-05,1.836582034908185e-05,1.2597055173530382e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021388725383249504,0.00035112322924051406,0.00021388725383249504,0.00025215482513974373,5.1864067172458246e-05,4.519747454295256e-05,5.1864067172458246e-05,2.4914516272920755e-05,0.0001620231866600368,0.00030592575469756147,0.0001620231866600368,0.00022724030886682296,39.08484656650684,39.08484656650684,28.18623088960556
245,882000,171.42,4.761666666666666e-05,1.846055993479679e-05,1.2652899856736151e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00020583756641911387,0.00033568087568812454,0.00020583756641911387,0.0002406379996018417,5.210969429167982e-05,4.541800487251606e-05,5.210969429167982e-05,2.5032012188597713e-05,0.00015372787212743406,0.0002902628708156085,0.00015372787212743406,0.00021560598741324398,38.68057988196084,38.68057988196084,28.31346167441054
246,885600,166.25,4.6180555555555554e-05,1.8760402413094637e-05,1.2847668094653287e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00020202177371569718,0.00032764944795569284,0.00020202177371569718,0.00023452897086108398,5.293030981891783e-05,4.614085926653804e-05,5.293030981891783e-05,2.5425625817029534e-05,0.00014909146389677935,0.0002815085886891548,0.00014909146389677935,0.00020910334504405445,38.342098551920635,38.342098551920635,28.420764227016583
