,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
85,ivf,16,256,2024-10-21 05:21:16.484529,2024-10-21 06:34:19.828176,11657.761164893616,12077.987000000001,11964.41,96256
86,ivf,16,512,2024-10-21 07:14:04.719109,2024-10-21 08:28:25.089087,23725.305760638297,24282.218389999998,24124.609050000003,96256
87,ivf,16,1024,2024-10-21 09:48:32.053234,2024-10-21 11:03:21.337345,47758.275297872344,49695.598699999995,48417.2842,96256
152,ivf,24,8,2024-10-25 21:31:49.469363,2024-10-25 21:35:35.673445,452.365716,635.2972699999999,566.4958499999998,4000
153,ivf,24,16,2024-10-25 21:36:19.580010,2024-10-25 21:40:05.176176,451.148306,543.3025499999998,507.4077,8000
154,ivf,24,32,2024-10-25 21:41:09.016514,2024-10-25 21:46:45.097560,672.102132,831.79877,739.4740499999998,16000
155,ivf,24,64,2024-10-25 21:49:24.452000,2024-10-25 22:04:29.505953,1810.0531139999998,1929.8140099999998,1897.98715,32000
156,ivf,24,128,2024-10-25 22:10:42.281793,2024-10-25 22:44:09.396416,4014.1720379999997,4262.1613,4175.3643,64000
157,ivf,24,256,2024-10-25 22:58:02.532473,2024-10-25 23:49:01.604566,8135.775417553192,8429.12875,8362.51575,96256
158,ivf,24,512,2024-10-26 00:16:31.598936,2024-10-26 01:08:13.210817,16497.881909574466,16922.010850000002,16815.33155,96256
159,ivf,24,1024,2024-10-26 02:04:05.289912,2024-10-26 02:55:52.441933,33054.75132978723,33602.25623,33480.11025,96256
48,ivf,32,8,2024-10-20 17:05:52.607861,2024-10-20 17:09:27.068120,428.878348,952.5029799999996,534.57485,4000
49,ivf,32,16,2024-10-20 17:10:08.242378,2024-10-20 17:13:42.077454,427.62825,563.5823499999998,485.77500000000003,8000
50,ivf,32,32,2024-10-20 17:14:33.809454,2024-10-20 17:18:58.278748,528.893974,686.71935,603.3438,16000
51,ivf,32,64,2024-10-20 17:21:06.921185,2024-10-20 17:32:44.486254,1395.07597,1495.7592300000001,1465.03645,32000
52,ivf,32,128,2024-10-20 17:37:38.498977,2024-10-20 18:03:42.182753,3127.314778,3325.14584,3252.4595,64000
53,ivf,32,256,2024-10-20 18:14:28.560650,2024-10-20 18:53:51.492007,6284.339678191488,6505.6125,6455.371999999999,96256
54,ivf,32,512,2024-10-20 19:15:20.004012,2024-10-20 19:55:11.206356,12719.112558510638,13159.179259999999,12979.44,96256
55,ivf,32,1024,2024-10-20 20:37:58.079438,2024-10-20 21:17:51.385337,25460.65118085106,25867.420139999995,25763.63625,96256
96,ivf,40,8,2024-10-25 13:14:03.581989,2024-10-25 13:17:31.371831,415.52539399999995,921.3866499999989,520.0804499999998,4000
97,ivf,40,16,2024-10-25 13:18:09.126433,2024-10-25 13:21:31.337478,404.36887,509.0069699999997,454.32009999999997,8000
98,ivf,40,32,2024-10-25 13:22:17.917670,2024-10-25 13:26:31.242189,506.594592,643.6356699999998,558.0287999999999,16000
99,ivf,40,64,2024-10-25 13:28:19.051978,2024-10-25 13:37:45.751725,1133.3354479999998,1217.8190399999999,1188.04235,32000
100,ivf,40,128,2024-10-25 13:41:49.610852,2024-10-25 14:03:03.562525,2547.839554,2693.46211,2645.0490499999996,64000
101,ivf,40,256,2024-10-25 14:11:38.040583,2024-10-25 14:43:47.789568,5132.24942287234,5314.114,5265.3885,96256
102,ivf,40,512,2024-10-25 15:01:21.203208,2024-10-25 15:34:03.216095,10436.179382978724,10685.1951,10637.85255,96256
103,ivf,40,1024,2024-10-25 16:08:59.333122,2024-10-25 16:41:37.333433,20829.72878723404,21178.83038,21105.8185,96256
128,ivf,48,8,2024-10-20 09:49:15.330356,2024-10-20 09:52:25.024418,379.3346480000001,650.51792,509.8514,4000
129,ivf,48,16,2024-10-20 09:53:04.943255,2024-10-20 09:56:15.499563,381.057814,458.0947999999999,423.9754499999999,8000
130,ivf,48,32,2024-10-20 09:57:00.618165,2024-10-20 10:00:53.424291,465.55820200000005,581.67117,506.98019999999997,16000
131,ivf,48,64,2024-10-20 10:02:28.480712,2024-10-20 10:10:44.609554,992.197768,1073.72454,1045.30495,32000
132,ivf,48,128,2024-10-20 10:14:17.855308,2024-10-20 10:32:40.564654,2205.3625460000003,2335.13996,2294.3238,64000
133,ivf,48,256,2024-10-20 10:40:02.677604,2024-10-20 11:07:32.885745,4388.795343085106,4550.58175,4502.6175,96256
134,ivf,48,512,2024-10-20 11:22:24.642673,2024-10-20 11:50:19.576989,8909.167664893617,9147.36834,9087.5256,96256
135,ivf,48,1024,2024-10-20 12:19:56.286498,2024-10-20 12:47:46.872057,17772.128382978724,18157.96021,18048.24585,96256
176,ivf,56,8,2024-10-25 06:45:31.602329,2024-10-25 06:48:34.642488,366.02777199999997,523.2747099999998,464.71315000000004,4000
177,ivf,56,16,2024-10-25 06:49:10.914969,2024-10-25 06:52:17.831697,373.780142,514.0074999999999,432.11374999999987,8000
178,ivf,56,32,2024-10-25 06:52:58.379475,2024-10-25 06:56:45.352033,453.891554,591.99804,495.57225,16000
179,ivf,56,64,2024-10-25 06:58:08.432778,2024-10-25 07:05:19.471347,862.0158879999999,941.22823,912.4246499999999,32000
180,ivf,56,128,2024-10-25 07:08:24.182577,2024-10-25 07:24:24.711170,1920.9983220000001,2041.61908,1999.9276499999999,64000
