,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
26,260,7.222222222222222e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",12.528060605703203,12.59162962567381,12.59162962567381,29.93908674961394,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,11.778513341445688,11.715648388980032,11.715648388980032,29.60258512169087
27,270,7.5e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",12.981080349604959,13.042231486788426,13.042231486788426,31.077647715832818,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,12.231533085347444,12.166250250094647,12.166250250094647,30.741146087909748
28,280,7.777777777777778e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",13.434100093506718,13.492833347903044,13.492833347903044,32.2162086820517,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,12.684552829249203,12.616852111209266,12.616852111209266,31.87970705412863
29,290,8.055555555555556e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",13.887119837408475,13.943435209017661,13.943435209017661,33.354769648270576,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,13.13757257315096,13.067453972323882,13.067453972323882,33.018268020347506
30,300,8.333333333333333e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",14.34013958131023,14.394037070132278,14.394037070132278,34.49333061448946,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,13.590592317052716,13.518055833438499,13.518055833438499,34.15682898656639
31,310,8.61111111111111e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",14.793159325211988,14.844638931246893,14.844638931246893,35.631891580708334,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,14.043612060954473,13.968657694553114,13.968657694553114,35.295389952785264
32,320,8.888888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",15.246179069113747,15.295240792361511,15.295240792361511,36.77045254692722,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,14.496631804856232,14.419259555667733,14.419259555667733,36.43395091900415
33,330,9.166666666666667e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",15.699198813015503,15.745842653476128,15.745842653476128,37.9090135131461,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,14.949651548757988,14.86986141678235,14.86986141678235,37.57251188522303
34,340,9.444444444444444e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",16.15221855691726,16.196444514590745,16.196444514590745,39.047574479364975,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,15.402671292659745,15.320463277896964,15.320463277896964,38.711072851441905
35,350,9.722222222222222e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",16.605238300819018,16.647046375705358,16.647046375705358,40.18613544558385,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,15.855691036561502,15.771065139011581,15.771065139011581,39.84963381766078
